update_time,id,title,price,sale_count,comment_count,店名,GMV,评论率,价格段,是否爆款,商品品类,品牌均价,品牌级别
2025-11-14,A18164178225,CHANDO/自然堂 雪域精粹纯粹滋润霜50g 补水保湿 滋润水润面霜,139.0,26719,2704,自然堂,3713941.0,0.10120139226767469,100-200元,1,面霜,169.77173913043478,中端品牌
2025-11-14,A18177105952,CHANDO/自然堂凝时鲜颜肌活乳液120ML 淡化细纹补水滋润专柜正品,194.0,8122,1492,自然堂,1575668.0,0.1836985964048264,100-200元,0,乳液,169.77173913043478,中端品牌
2025-11-14,A18177226992,CHANDO/自然堂活泉保湿修护精华水（滋润型135ml 补水控油爽肤水,99.0,12668,589,自然堂,1254132.0,0.046495105778339124,50-100元,1,精华,169.77173913043478,中端品牌
2025-11-14,A18178033846,CHANDO/自然堂 男士劲爽控油洁面膏 100g 深层清洁  男士洗面奶,38.0,25805,4287,自然堂,980590.0,0.16613059484596007,0-50元,1,洁面,169.77173913043478,中端品牌
2025-11-14,A18178045259,CHANDO/自然堂雪域精粹纯粹滋润霜（清爽型）50g补水保湿滋润霜,139.0,5196,618,自然堂,722244.0,0.11893764434180139,100-200元,0,其他,169.77173913043478,中端品牌
2025-11-14,A18178129035,自然堂 雪域纯粹滋润洗颜霜 110g  补水保湿  洗面奶女 深层清洁,88.0,42858,8426,自然堂,3771504.0,0.19660273461197442,50-100元,1,其他,169.77173913043478,中端品牌
2025-11-14,A18178206572,CHANDO/自然堂雪润皙白晶采霜（滋润型）50g 滋润修护面霜 正品,139.0,3027,304,自然堂,420753.0,0.10042946812025107,100-200元,0,面霜,169.77173913043478,中端品牌
2025-11-14,A18190290933,自然堂 活泉深层净化控油凝露60g 控油补水保湿滋润 活泉精华正品,86.0,6925,740,自然堂,595550.0,0.10685920577617329,50-100元,0,精华,169.77173913043478,中端品牌
2025-11-14,A18250630014,CHANDO/自然堂 凝时鲜颜肌活修护精华液35ml 淡化细纹护肤精华,216.0,4649,630,自然堂,1004184.0,0.13551301355130135,200-500元,0,精华,169.77173913043478,中端品牌
2025-11-14,A18422797881,CHANDO/自然堂活泉保湿精华套装 保湿补水滋润控油面部护理套装,258.0,2293,43,自然堂,591594.0,0.01875272568687309,200-500元,0,精华,169.77173913043478,中端品牌
2025-11-14,A18919906680,自然堂 水润保湿柔肤水 135ml 补水保湿清透锁水 专柜正品,66.0,64345,10210,自然堂,4246770.0,0.15867588779236927,50-100元,1,其他,169.77173913043478,中端品牌
2025-11-14,A18934397934,CHANDO/自然堂水润保湿霜50g 补水保湿锁水细腻清爽防干燥正品,176.0,19290,3152,自然堂,3395040.0,0.1634007257646449,100-200元,1,其他,169.77173913043478,中端品牌
2025-11-14,A18934597093,CHANDO/自然堂水润长效保湿霜50g 深层补水持久锁水细腻清爽滋润,86.0,10711,618,自然堂,921146.0,0.057697693959480906,50-100元,1,其他,169.77173913043478,中端品牌
