客户编码,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM总分,客户层级,是否流失
S10001,16,10,4666242.0,3,3,3,9,重要客户,0
S10011,3,7,2953097.0,4,2,2,8,重要客户,0
S10016,92,4,2467894.0,1,1,2,4,流失风险,1
S10025,11,12,6239938.0,3,4,4,11,核心客户,0
S10057,1,9,3596425.0,4,3,3,10,核心客户,0
S10058,21,6,3692408.0,3,2,3,8,重要客户,0
S10098,74,4,2826573.0,1,1,2,4,流失风险,1
S10106,2,4,1798535.0,4,1,1,6,一般客户,0
S10110,35,8,3788079.0,2,3,3,8,重要客户,0
S10131,167,2,1684071.0,1,1,1,3,流失风险,1
S10135,35,11,5469058.0,2,4,4,10,核心客户,0
S10136,41,8,4626669.0,2,3,3,8,重要客户,0
S10141,17,14,6698344.0,3,4,4,11,核心客户,0
S10143,129,3,1558806.0,1,1,1,3,流失风险,1
S10158,20,14,6651163.0,3,4,4,11,核心客户,0
S10223,2,7,3385305.0,4,2,3,9,重要客户,0
S10226,8,6,2381690.0,4,2,2,8,重要客户,0
S10253,16,11,7407682.0,3,4,4,11,核心客户,0
S10271,80,7,4597139.0,1,2,3,6,一般客户,0
S10274,9,4,1728358.0,4,1,1,6,一般客户,0
S10283,9,4,1131064.0,4,1,1,6,一般客户,0
S10286,11,19,9351549.0,3,4,4,11,核心客户,0
S10302,19,7,3173171.0,3,2,2,7,重要客户,0
S10311,6,15,6808502.0,4,4,4,12,核心客户,0
S10325,11,7,5384687.0,3,2,4,9,重要客户,0
S10355,10,6,3136308.0,4,2,2,8,重要客户,0
S10359,12,8,3122156.0,3,3,2,8,重要客户,0
S10397,11,11,5060516.0,3,4,4,11,核心客户,0
S10409,29,4,601716.0,2,1,1,4,流失风险,1
S10419,9,10,4124616.0,4,3,3,10,核心客户,0
S10423,8,17,7118268.0,4,4,4,12,核心客户,0
S10427,27,7,2906056.0,2,2,2,6,一般客户,0
S10430,20,11,5539094.0,3,4,4,11,核心客户,0
S10438,43,7,2507304.0,2,2,2,6,一般客户,0
S10448,30,5,2576924.0,2,2,2,6,一般客户,0
S10451,1,10,4965517.0,4,3,3,10,核心客户,0
S10462,6,11,4287861.0,4,4,3,11,核心客户,0
S10468,63,6,3363409.0,1,2,3,6,一般客户,0
S10469,1,4,2678900.0,4,1,2,7,重要客户,0
S10476,9,12,5978957.0,4,4,4,12,核心客户,0
S10510,70,4,1890918.0,1,1,1,3,流失风险,1
S10512,28,6,1800398.0,2,2,1,5,一般客户,0
S10520,9,6,1014345.0,4,2,1,7,重要客户,0
S10529,32,8,4360568.0,2,3,3,8,重要客户,0
S10550,36,5,2361560.0,2,2,2,6,一般客户,0
S10554,5,7,3857206.0,4,2,3,9,重要客户,0
S10570,112,2,1000787.0,1,1,1,3,流失风险,1
S10575,78,4,1215605.0,1,1,1,3,流失风险,1
S10576,18,8,3804956.0,3,3,3,9,重要客户,0
S10580,47,11,6366323.0,1,4,4,9,重要客户,0
S10594,1,10,5571732.0,4,3,4,11,核心客户,0
S10596,31,8,4913344.0,2,3,3,8,重要客户,0
S10604,24,5,3880956.0,2,2,3,7,重要客户,0
S10606,45,9,4038450.0,2,3,3,8,重要客户,0
S10607,46,10,4364547.0,1,3,3,7,重要客户,0
S10616,47,10,5900038.0,1,3,4,8,重要客户,0
S10648,55,3,587084.0,1,1,1,3,流失风险,1
S10671,12,9,4823130.0,3,3,3,9,重要客户,0
S10710,3,8,4819253.0,4,3,3,10,核心客户,0
S10723,15,7,3679041.0,3,2,3,8,重要客户,0
S10757,20,4,1222867.0,3,1,1,5,一般客户,0
