订单编码,订单日期,客户编码,所在区域,所在省份,所在地市,商品编号,订购数量,订购单价,金额,商品名称,商品小类,商品大类,销售单价,订单年份,订单月份,订单季度,订单星期,是否周末,单价差异,折扣率,区域编码,订单总金额
D31313,2025-05-16,S22796,东区,浙江省,台州市,X091,892,214.0,190888.0,商品91,粉底,彩妆,214.0,2025,5,2,4,0,0.0,1.0,3.0,508658.0
D21329,2025-05-14,S11460,东区,安徽省,宿州市,X005,276,185.0,51060.0,商品5,面膜,护肤品,185.0,2025,5,2,2,0,0.0,1.0,3.0,881363.0
D22372,2025-08-26,S11101,北区,山西省,忻州市,X078,1450,116.0,168200.0,商品78,口红,彩妆,116.0,2025,8,3,1,0,0.0,1.0,1.0,426635.0
D31078,2025-04-08,S10902,北区,吉林省,延边朝鲜族自治州,X025,1834,102.0,187068.0,商品25,眼霜,护肤品,102.0,2025,4,2,1,0,0.0,1.0,1.0,670482.0
D32470,2025-04-11,S18696,北区,北京市,北京市,X010,887,58.0,51446.0,商品10,面膜,护肤品,58.0,2025,4,2,4,0,0.0,1.0,1.0,505662.0
D28336,2025-02-08,S17681,西区,云南省,红河哈尼族彝族自治州,X039,1102,108.0,119016.0,商品39,面霜,护肤品,108.0,2025,2,1,5,1,0.0,1.0,4.0,446053.0
D31449,2025-05-01,S12455,南区,广西壮族自治区,百色市,X051,1236,203.0,250908.0,商品51,爽肤水,护肤品,203.0,2025,5,2,3,0,0.0,1.0,2.0,544862.0
D22542,2025-09-18,S10865,北区,内蒙古自治区,呼和浩特市,X089,1101,104.0,114504.0,商品89,粉底,彩妆,104.0,2025,9,3,3,0,0.0,1.0,1.0,924647.0
D31859,2025-01-17,S17785,西区,云南省,曲靖市,X001,235,121.0,28435.0,商品1,面膜,护肤品,121.0,2025,1,1,4,0,0.0,1.0,4.0,348349.0
D32315,2025-02-21,S20802,西区,新疆维吾尔自治区,乌鲁木齐市,X049,2042,226.0,461492.0,商品49,爽肤水,护肤品,226.0,2025,2,1,4,0,0.0,1.0,4.0,545048.0
D28486,2025-09-15,S12592,东区,浙江省,杭州市,X016,2052,99.0,203148.0,商品16,面膜,护肤品,99.0,2025,9,3,0,0,0.0,1.0,3.0,725231.0
D21856,2025-07-12,S17476,东区,湖北省,武汉市,X019,779,210.0,163590.0,商品19,眼霜,护肤品,210.0,2025,7,3,5,1,0.0,1.0,3.0,438837.0
D28140,2025-04-03,S14649,南区,广东省,广州市,X057,583,245.0,142835.0,商品57,爽肤水,护肤品,245.0,2025,4,2,3,0,0.0,1.0,2.0,574273.0
D28343,2025-07-03,S19238,东区,浙江省,杭州市,X022,753,158.0,118974.0,商品22,眼霜,护肤品,158.0,2025,7,3,3,0,0.0,1.0,3.0,664089.0
D26674,2025-05-01,S15128,东区,江苏省,南通市,X091,1133,214.0,242462.0,商品91,粉底,彩妆,214.0,2025,5,2,3,0,0.0,1.0,3.0,942082.0
D23894,2025-06-14,S15638,西区,甘肃省,陇南市,X038,1423,102.0,145146.0,商品38,面霜,护肤品,102.0,2025,6,2,5,1,0.0,1.0,4.0,755216.0
D31352,2025-04-15,S22269,西区,四川省,泸州市,X047,1100,192.0,211200.0,商品47,爽肤水,护肤品,192.0,2025,4,2,1,0,0.0,1.0,4.0,1080555.0
D28666,2025-08-26,S10550,东区,江苏省,常州市,X017,1020,213.0,217260.0,商品17,眼霜,护肤品,213.0,2025,8,3,1,0,0.0,1.0,3.0,327059.0
D24043,2025-01-04,S12026,北区,河南省,郑州市,X079,876,128.0,112128.0,商品79,口红,彩妆,128.0,2025,1,1,5,1,0.0,1.0,1.0,112128.0
