订单编号,总金额,买家实际支付金额,收货地址,订单创建时间,订单付款时间,退款金额,下单日期,下单小时,下单星期,是否周末,下单月份,付款延迟(小时),是否付款,是否退款,实际收入,退款比例,金额段,下单时段
1,178.8,0.0,上海市,2025-02-21 00:00:00,,0.0,2025-02-21,0.0,4.0,0,2.0,-1.0,0,0,0.0,0.0,100-200,凌晨(0-6)
2,21.0,21.0,内蒙古自治区,2025-02-20 23:59:00,2025-02-21 00:00:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,21.0,0.0,0-50,晚上(18-24)
3,37.0,0.0,安徽省,2025-02-20 23:59:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,0-50,晚上(18-24)
4,157.0,157.0,湖南省,2025-02-20 23:58:00,2025-02-20 23:58:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,157.0,0.0,100-200,晚上(18-24)
5,64.8,0.0,江苏省,2025-02-20 23:57:00,2025-02-20 23:57:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,50-100,晚上(18-24)
6,327.7,148.9,浙江省,2025-02-20 23:56:00,2025-02-20 23:56:00,148.9,2025-02-20,23.0,3.0,0,2.0,0.0,1,1,0.0,1.0,200-500,晚上(18-24)
7,357.0,357.0,天津市,2025-02-20 23:56:00,2025-02-20 23:56:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,357.0,0.0,200-500,晚上(18-24)
8,53.0,53.0,浙江省,2025-02-20 23:56:00,2025-02-20 23:56:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,53.0,0.0,50-100,晚上(18-24)
9,43.0,0.0,湖南省,2025-02-20 23:54:00,2025-02-20 23:55:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,0,0,0.0,0.0,0-50,晚上(18-24)
10,421.0,421.0,北京市,2025-02-20 23:54:00,2025-02-20 23:54:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,421.0,0.0,200-500,晚上(18-24)
11,267.9,0.0,北京市,2025-02-20 23:54:00,2025-02-20 23:54:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,200-500,晚上(18-24)
12,37.0,37.0,四川省,2025-02-20 23:54:00,2025-02-20 23:54:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,37.0,0.0,0-50,晚上(18-24)
13,53.0,53.0,上海市,2025-02-20 23:53:00,2025-02-20 23:57:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.06666666666666667,1,0,53.0,0.0,50-100,晚上(18-24)
14,34.9,0.0,天津市,2025-02-20 23:53:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,0-50,晚上(18-24)
15,96.8,0.0,贵州省,2025-02-20 23:51:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,50-100,晚上(18-24)
16,80.8,80.8,天津市,2025-02-20 23:51:00,2025-02-20 23:51:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,80.8,0.0,50-100,晚上(18-24)
17,37.0,37.0,辽宁省,2025-02-20 23:51:00,2025-02-20 23:51:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,37.0,0.0,0-50,晚上(18-24)
18,119.0,119.0,上海市,2025-02-20 23:50:00,2025-02-20 23:51:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,119.0,0.0,100-200,晚上(18-24)
19,37.0,37.0,浙江省,2025-02-20 23:50:00,2025-02-20 23:51:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,37.0,0.0,0-50,晚上(18-24)
20,238.0,238.0,上海市,2025-02-20 23:50:00,2025-02-20 23:50:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,238.0,0.0,200-500,晚上(18-24)
21,34.9,34.9,上海市,2025-02-20 23:50:00,2025-02-20 23:50:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,34.9,0.0,0-50,晚上(18-24)
22,85.0,85.0,河南省,2025-02-20 23:50:00,2025-02-20 23:50:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,85.0,0.0,50-100,晚上(18-24)
23,21.0,0.0,广西壮族自治区,2025-02-20 23:49:00,2025-02-20 23:50:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,0,0,0.0,0.0,0-50,晚上(18-24)
24,69.0,69.0,江苏省,2025-02-20 23:49:00,2025-02-20 23:50:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,69.0,0.0,50-100,晚上(18-24)
25,329.8,329.8,天津市,2025-02-20 23:49:00,2025-02-20 23:49:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,329.8,0.0,200-500,晚上(18-24)
26,43.0,43.0,广东省,2025-02-20 23:48:00,2025-02-20 23:49:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,43.0,0.0,0-50,晚上(18-24)
27,37.0,37.0,福建省,2025-02-20 23:48:00,2025-02-20 23:48:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,37.0,0.0,0-50,晚上(18-24)
28,64.8,64.8,上海市,2025-02-20 23:47:00,2025-02-20 23:48:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,64.8,0.0,50-100,晚上(18-24)
29,53.0,0.0,辽宁省,2025-02-20 23:47:00,2025-02-20 23:47:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,50-100,晚上(18-24)
30,37.0,37.0,天津市,2025-02-20 23:47:00,2025-02-20 23:47:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,37.0,0.0,0-50,晚上(18-24)
31,37.0,37.0,上海市,2025-02-20 23:47:00,2025-02-21 08:36:00,0.0,2025-02-20,23.0,3.0,0,2.0,8.816666666666666,1,0,37.0,0.0,0-50,晚上(18-24)
32,37.0,37.0,河南省,2025-02-20 23:46:00,2025-02-20 23:49:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.05,1,0,37.0,0.0,0-50,晚上(18-24)
