商品编号,商品名称,商品小类,商品大类,历史总销量,订单数,当前库存量,最近补货日期
X091,商品91,粉底,彩妆,267471,311,7039,2025-11-02
X051,商品51,爽肤水,护肤品,352994,413,3743,2025-11-13
X001,商品1,面膜,护肤品,340457,377,5759,2025-11-11
X016,商品16,面膜,护肤品,370287,403,7495,2025-11-28
X057,商品57,爽肤水,护肤品,367315,413,3709,2025-11-08
X022,商品22,眼霜,护肤品,327983,369,4876,2025-11-07
X047,商品47,爽肤水,护肤品,389457,424,3580,2025-11-18
X027,商品27,面霜,护肤品,343060,378,4985,2025-11-18
X041,商品41,洁面乳,护肤品,297301,352,3750,2025-11-01
X002,商品2,面膜,护肤品,318991,357,1289,2025-11-03
X020,商品20,眼霜,护肤品,283039,316,3321,2025-11-16
X068,商品68,防晒霜,护肤品,329092,375,1991,2025-11-13
X099,商品99,眼影,彩妆,12618,12,457,2025-11-10
X009,商品9,面膜,护肤品,329511,373,2750,2025-11-02
X030,商品30,面霜,护肤品,335415,394,2781,2025-11-02
X074,商品74,防晒霜,护肤品,71279,71,542,2025-11-08
X092,商品92,粉底,彩妆,54567,69,963,2025-11-19
X112,商品112,睫毛膏,彩妆,5864,8,161,2025-11-17
TB-A12727688676,美宝莲眼唇卸妆液 脸部眼部及唇部卸妆油卸妆水温和清爽深层清洁,卸妆,卸妆,493622,0,149925,2025-11-15
TB-A15486609514,innisfree/悦诗风吟控油矿物质散粉5g 蜜粉饼粉底定妆持久 彩妆,粉底,粉底,360833,0,106816,2025-11-16
TB-A16455720259,innisfree悦诗风吟绿茶保湿洁面膏洗面奶 深层清洁补水洁面乳男女,洁面,洁面,358343,0,23660,2025-11-26
TB-A21625571512,CHANDO/自然堂水润保湿面部护理套装 洗面奶爽肤水乳液面霜补水女,面霜,面霜,346091,0,67740,2025-11-28
TB-A12620554096,相宜本草四倍多萃4件套装补水保湿女护肤品秋冬,其他,其他,285109,0,19661,2025-11-25
TB-A7895042908,L'OREAL欧莱雅男士护肤劲能醒肤露 8重功效滋润补水,其他,其他,266613,0,23873,2025-11-14
TB-A10027317366,相宜本草红景天护肤套装美白补水保湿女化妆品,其他,其他,209387,0,36642,2025-11-30
TB-A26487404578,CHANDO/自然堂水润保湿洗颜霜 专柜正品 洗面奶女 深层清洁不紧绷,其他,其他,189494,0,11774,2025-11-11
TB-A520711852230,雅漾 舒护活泉水喷雾300ml 大喷 冬季补水保湿 舒缓修护敏感肌肤,喷雾,喷雾,186200,0,19446,2025-11-03
