商品编号,总销量,平均销量,订单次数,总销售额,平均销售额,首次销售,最后销售,覆盖省份,客户数,近30天销量,近60天销量,近90天销量,商品大类,商品小类,销售单价,距今天数,销量趋势,热度标签,大类编码,小类编码,热度编码,聚类标签
X001,340457.0,903.0689655172414,377,41195297.0,109271.3448275862,2025-01-01,2025-09-29,27,310,0.0,0.0,0.0,护肤品,面膜,121.0,9019,0.0,正常,1,10,0,1
X002,318991.0,893.5322128851541,357,44977731.0,125988.04201680672,2025-01-01,2025-09-29,29,316,0.0,0.0,0.0,护肤品,面膜,141.0,9019,0.0,正常,1,10,0,1
X003,364406.0,875.9759615384615,416,61220808.0,147165.40384615384,2025-01-03,2025-09-30,28,345,0.0,0.0,0.0,护肤品,面膜,168.0,9018,0.0,热销,1,10,2,1
X004,318922.0,861.9513513513514,370,67292542.0,181871.73513513512,2025-01-01,2025-09-30,28,299,0.0,0.0,0.0,护肤品,面膜,211.0,9018,0.0,正常,1,10,0,3
X005,365155.0,910.6109725685785,401,67553675.0,168463.02992518703,2025-01-02,2025-09-30,28,339,0.0,0.0,0.0,护肤品,面膜,185.0,9018,0.0,热销,1,10,2,3
X006,34547.0,959.6388888888889,36,5492973.0,152582.58333333334,2025-01-06,2025-09-26,22,36,0.0,0.0,0.0,护肤品,面膜,159.0,9022,0.0,滞销预警,1,10,1,0
X007,317865.0,870.8630136986301,365,67705245.0,185493.8219178082,2025-01-02,2025-09-28,28,301,0.0,0.0,0.0,护肤品,面膜,213.0,9020,0.0,正常,1,10,0,3
X008,393884.0,909.662817551963,433,46872196.0,108249.8752886836,2025-01-02,2025-09-30,29,344,0.0,0.0,0.0,护肤品,面膜,119.0,9018,0.0,热销,1,10,2,1
X009,329511.0,883.4075067024129,373,30315012.0,81273.49061662199,2025-01-04,2025-09-30,28,301,0.0,0.0,0.0,护肤品,面膜,92.0,9018,0.0,正常,1,10,0,1
X010,324219.0,908.1764705882352,357,18804702.0,52674.23529411765,2025-01-01,2025-09-30,28,300,0.0,0.0,0.0,护肤品,面膜,58.0,9018,0.0,正常,1,10,0,1
X011,346706.0,853.9556650246305,406,77971808.0,192048.7881773399,2025-01-02,2025-09-30,28,326,0.0,0.0,0.0,护肤品,面膜,226.0,9018,0.0,热销,1,10,2,3
X012,52241.0,842.5967741935484,62,13164732.0,212334.38709677418,2025-01-04,2025-09-27,20,59,0.0,0.0,0.0,护肤品,面膜,252.0,9021,0.0,滞销预警,1,10,1,0
X013,322522.0,860.0586666666667,375,52893608.0,141049.62133333334,2025-01-02,2025-09-30,28,298,0.0,0.0,0.0,护肤品,面膜,164.0,9018,0.0,正常,1,10,0,1
X014,345249.0,852.4666666666667,405,29691414.0,73312.13333333333,2025-01-01,2025-09-30,29,325,0.0,0.0,0.0,护肤品,面膜,86.0,9018,0.0,热销,1,10,2,1
X015,382524.0,942.1773399014778,406,57761184.0,142268.92610837438,2025-01-01,2025-09-30,28,336,0.0,0.0,0.0,护肤品,面膜,151.0,9018,0.0,热销,1,10,2,1
X016,370287.0,918.8263027295285,403,36658413.0,90963.80397022332,2025-01-04,2025-09-30,28,343,0.0,0.0,0.0,护肤品,面膜,99.0,9018,0.0,热销,1,10,2,1
X017,306039.0,887.0695652173913,345,65186307.0,188945.81739130436,2025-01-01,2025-09-30,28,298,0.0,0.0,0.0,护肤品,眼霜,213.0,9018,0.0,正常,1,4,0,3
X018,359431.0,903.0929648241206,398,76199372.0,191455.70854271358,2025-01-01,2025-09-30,29,322,0.0,0.0,0.0,护肤品,眼霜,212.0,9018,0.0,热销,1,4,2,3
X019,329367.0,855.4987012987013,385,69167070.0,179654.72727272726,2025-01-01,2025-09-30,29,323,0.0,0.0,0.0,护肤品,眼霜,210.0,9018,0.0,正常,1,4,0,3
X020,283039.0,895.6930379746835,316,28303900.0,89569.30379746835,2025-01-03,2025-09-30,29,268,0.0,0.0,0.0,护肤品,眼霜,100.0,9018,0.0,滞销预警,1,4,1,1
X021,351451.0,887.5025252525253,396,20735609.0,52362.64898989899,2025-01-01,2025-09-30,28,321,0.0,0.0,0.0,护肤品,眼霜,59.0,9018,0.0,热销,1,4,2,1
