省份,销量,预测销量,安全库存,补货点,库存策略
上海市,1023720.0,1008610.6628333334,1512915.99425,1748258.4822444445,正常区域: 标准库存、常规补货
云南省,656565.0,659746.1391746032,989619.2087619047,1143559.974569312,正常区域: 标准库存、常规补货
内蒙古自治区,100227.0,95516.65083333333,143274.97625,165562.19477777777,滞销区域: 减少库存、延迟补货
北京市,492508.0,484624.72034920636,726937.0805238095,840016.1819386244,正常区域: 标准库存、常规补货
吉林省,307927.0,302394.751265873,453592.12689880957,524150.90219417994,滞销区域: 减少库存、延迟补货
四川省,1240917.0,1247280.7654444445,1870921.1481666667,2161953.3267703704,正常区域: 标准库存、常规补货
天津市,131922.0,136256.46133333334,204384.692,236177.86631111114,滞销区域: 减少库存、延迟补货
宁夏回族自治区,102254.0,107907.22561904762,161860.8384285714,187039.19107301586,滞销区域: 减少库存、延迟补货
安徽省,1236251.0,1220975.3305238094,1831462.9957857141,2116357.239574603,正常区域: 标准库存、常规补货
山东省,1118183.0,1118582.7145238095,1677874.0717857142,1938876.705174603,正常区域: 标准库存、常规补货
山西省,477654.0,476575.81818253966,714863.7272738095,826064.7515164021,正常区域: 标准库存、常规补货
广东省,2665708.0,2653691.3,3980536.9499999997,4599731.586666666,热销区域: 安全库存+50%、优先补货
广西壮族自治区,843237.0,839522.7709047619,1259284.1563571428,1455172.8029015872,正常区域: 标准库存、常规补货
新疆维吾尔自治区,180324.0,180561.79317857142,270842.68976785714,312973.77484285715,滞销区域: 减少库存、延迟补货
江苏省,3845283.0,3739069.06,5608603.59,6481053.037333333,热销区域: 安全库存+50%、优先补货
江西省,833115.0,822288.5413015872,1233432.811952381,1425300.1382560846,正常区域: 标准库存、常规补货
河北省,898655.0,867788.964186508,1301683.4462797618,1504167.5379232804,正常区域: 标准库存、常规补货
河南省,476141.0,467011.32491666666,700516.987375,809486.2965222222,正常区域: 标准库存、常规补货
浙江省,2140432.0,2146480.256190476,3219720.384285714,3720565.777396825,热销区域: 安全库存+50%、优先补货
海南省,112919.0,114563.40316666667,171845.10475,198576.56548888888,滞销区域: 减少库存、延迟补货
湖北省,828142.0,829370.9528571428,1244056.4292857142,1437576.3182857141,正常区域: 标准库存、常规补货
湖南省,1160614.0,1136043.175845238,1704064.7637678569,1969141.5047984123,正常区域: 标准库存、常规补货
甘肃省,268417.0,250559.38861111112,375839.0829166667,434302.9402592593,滞销区域: 减少库存、延迟补货
福建省,1421485.0,1410620.2975,2115930.44625,2445075.1823333334,热销区域: 安全库存+50%、优先补货
贵州省,426023.0,432259.96184920636,648389.9427738095,749250.6005386243,正常区域: 标准库存、常规补货
辽宁省,517161.0,505040.92910714285,757561.3936607143,875404.2771190476,正常区域: 标准库存、常规补货
重庆市,768155.0,761778.7100323564,1142668.0650485347,1320416.4307227512,正常区域: 标准库存、常规补货
陕西省,563476.0,566523.67304884,849785.5095732601,981974.3666179895,正常区域: 标准库存、常规补货
黑龙江省,424592.0,443877.19473443227,665815.7921016484,769387.1375396826,正常区域: 标准库存、常规补货
