商品编号,商品名称,商品小类,商品大类,当前售价,当前库存量,历史总销量,是否套装
X001,商品1,面膜,护肤品,121.0,5759,340457,0
X002,商品2,面膜,护肤品,141.0,1289,318991,0
X003,商品3,面膜,护肤品,168.0,87627,362913,0
X004,商品4,面膜,护肤品,211.0,144720,318922,0
X005,商品5,面膜,护肤品,185.0,35171,365155,0
X006,商品6,面膜,护肤品,159.0,22947,34547,0
X007,商品7,面膜,护肤品,213.0,74792,317865,0
X008,商品8,面膜,护肤品,119.0,97688,393884,0
X009,商品9,面膜,护肤品,92.0,2750,329511,0
X010,商品10,面膜,护肤品,58.0,163580,324219,0
X011,商品11,面膜,护肤品,226.0,60925,346706,0
X012,商品12,面膜,护肤品,252.0,2144,52241,0
X013,商品13,面膜,护肤品,164.0,38191,322522,0
X014,商品14,面膜,护肤品,86.0,215082,345249,0
X015,商品15,面膜,护肤品,151.0,236932,382524,0
X016,商品16,面膜,护肤品,99.0,7495,370287,0
X017,商品17,眼霜,护肤品,213.0,63791,306039,0
X018,商品18,眼霜,护肤品,212.0,203283,359431,0
X019,商品19,眼霜,护肤品,210.0,122498,329367,0
X020,商品20,眼霜,护肤品,100.0,3321,283039,0
X021,商品21,眼霜,护肤品,59.0,103455,351451,0
X022,商品22,眼霜,护肤品,158.0,4876,327983,0
X023,商品23,眼霜,护肤品,235.0,149299,374458,0
X024,商品24,眼霜,护肤品,235.0,20611,356235,0
X025,商品25,眼霜,护肤品,102.0,77347,368243,0
X026,商品26,面霜,护肤品,101.0,18551,351001,0
X027,商品27,面霜,护肤品,164.0,4985,343060,0
X028,商品28,面霜,护肤品,140.0,18306,60409,0
X029,商品29,面霜,护肤品,154.0,73266,360882,0
X030,商品30,面霜,护肤品,237.0,2781,335415,0
X031,商品31,面霜,护肤品,86.0,171680,341030,0
X032,商品32,面霜,护肤品,158.0,30167,53230,0
X033,商品33,面霜,护肤品,177.0,18402,57531,0
X034,商品34,面霜,护肤品,182.0,19244,326502,0
X035,商品35,面霜,护肤品,76.0,66197,310221,0
X036,商品36,面霜,护肤品,99.0,79177,338442,0
X037,商品37,面霜,护肤品,195.0,51053,283378,0
X038,商品38,面霜,护肤品,102.0,20513,331976,0
X039,商品39,面霜,护肤品,108.0,147779,314272,0
X040,商品40,面霜,护肤品,142.0,44170,321323,0
X041,商品41,洁面乳,护肤品,212.0,3750,297301,0
X042,商品42,洁面乳,护肤品,159.0,156934,322762,0
X043,商品43,洁面乳,护肤品,186.0,26153,64729,0
X044,商品44,洁面乳,护肤品,174.0,160482,374644,0
X045,商品45,洁面乳,护肤品,205.0,26736,359552,0
X046,商品46,洁面乳,护肤品,241.0,96054,327941,0
X047,商品47,爽肤水,护肤品,192.0,3580,389457,0
X048,商品48,爽肤水,护肤品,61.0,174775,349336,0
X049,商品49,爽肤水,护肤品,226.0,34257,345813,0
X050,商品50,爽肤水,护肤品,143.0,225285,356920,0
X051,商品51,爽肤水,护肤品,203.0,3743,352994,0
X052,商品52,爽肤水,护肤品,102.0,11856,67745,0
X053,商品53,爽肤水,护肤品,104.0,16414,62072,0
X054,商品54,爽肤水,护肤品,83.0,87163,314453,0
X055,商品55,爽肤水,护肤品,222.0,211973,331048,0
X056,商品56,爽肤水,护肤品,233.0,101693,260999,0
X057,商品57,爽肤水,护肤品,245.0,3709,367315,0
X058,商品58,爽肤水,护肤品,239.0,7206,34105,0
X059,商品59,隔离霜,护肤品,56.0,14357,367648,0
X060,商品60,隔离霜,护肤品,102.0,6781,27849,0
X061,商品61,隔离霜,护肤品,203.0,159522,330588,0
X062,商品62,隔离霜,护肤品,239.0,47999,355073,0
X063,商品63,隔离霜,护肤品,162.0,44656,69876,0
X064,商品64,隔离霜,护肤品,150.0,67476,317196,0
X065,商品65,隔离霜,护肤品,140.0,192418,353494,0
X066,商品66,隔离霜,护肤品,113.0,22966,83023,0
X067,商品67,隔离霜,护肤品,212.0,27757,323909,0
X068,商品68,防晒霜,护肤品,225.0,1991,329092,0
X069,商品69,防晒霜,护肤品,251.0,186441,341213,0
X070,商品70,防晒霜,护肤品,242.0,36464,271860,0
X071,商品71,防晒霜,护肤品,253.0,19989,356626,0
X072,商品72,防晒霜,护肤品,62.0,150790,337563,0
X073,商品73,防晒霜,护肤品,209.0,30893,57588,0
X074,商品74,防晒霜,护肤品,87.0,542,71279,0
X075,商品75,防晒霜,护肤品,126.0,70026,346371,0
X076,商品76,防晒霜,护肤品,115.0,40124,64291,0
X077,商品77,口红,彩妆,247.0,88441,204981,0
X078,商品78,口红,彩妆,116.0,23931,331329,0
X079,商品79,口红,彩妆,128.0,147765,351763,0
X080,商品80,口红,彩妆,72.0,127287,368684,0
X081,商品81,口红,彩妆,204.0,6956,9591,0
X082,商品82,口红,彩妆,118.0,8976,26218,0
